qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.0489,0.0838,0.0937,0.0908,0.0878,0.0967,0.0459
0.0509,0.0828,0.0818,0.0798,0.0828,0.0997,0.0449
0.0509,0.0828,0.0838,0.0848,0.0828,0.0997,0.0449
0.0509,0.0828,0.0788,0.0878,0.0848,0.0957,0.0449
0.0499,0.0838,0.0858,0.0898,0.0858,0.0808,0.0339
0.0389,0.0708,0.0608,0.0579,0.0648,0.0658,0.0299
0.0419,0.0718,0.0678,0.0618,0.0658,0.0728,0.0300
0.0349,0.0728,0.0828,0.0918,0.0838,0.0997,0.0429
0.0499,0.0818,0.0828,0.0818,0.0838,0.0957,0.0449
0.0509,0.0808,0.0878,0.0908,0.0838,0.0967,0.0439
0.0489,0.0808,0.0778,0.0937,0.0898,0.0977,0.0439
0.0489,0.0818,0.0798,0.0788,0.0858,0.0987,0.0469
0.0499,0.0838,0.0828,0.0908,0.0868,0.0698,0.0289
0.0359,0.0618,0.0578,0.0668,0.0668,0.0788,0.0309
0.0329,0.0628,0.0568,0.0578,0.0549,0.0748,0.0379
0.0409,0.0708,0.0658,0.0609,0.0618,0.0818,0.0349
0.0429,0.0708,0.0559,0.0548,0.0608,0.0838,0.0349
0.0399,0.0708,0.0568,0.0588,0.0688,0.0778,0.0339
0.0409,0.0728,0.0549,0.0638,0.0648,0.0638,0.0299
0.0379,0.0728,0.0658,0.0648,0.0718,0.0678,0.0309
0.0399,0.0728,0.0638,0.0658,0.0659,0.0748,0.0339
0.0429,0.0588,0.0539,0.0678,0.0678,0.0738,0.0319
0.0448,0.0639,0.0678,0.0768,0.0588,0.0698,0.0349
0.0389,0.0659,0.0678,0.0708,0.0598,0.0678,0.0399
0.0339,0.0598,0.0638,0.0728,0.0659,0.0668,0.0389
0.0359,0.0588,0.0579,0.0758,0.0678,0.0888,0.0349
0.0339,0.0549,0.0568,0.0708,0.0559,0.0678,0.0379
0.0339,0.0618,0.0658,0.0718,0.0628,0.0658,0.0389
0.0359,0.0578,0.0658,0.0758,0.0638,0.0818,0.0289
0.0349,0.0618,0.0748,0.0678,0.0598,0.0778,0.0349
0.0399,0.0688,0.0728,0.0738,0.0598,0.0778,0.0299
0.0339,0.0588,0.0619,0.0608,0.0569,0.0728,0.0299
0.0359,0.0559,0.0668,0.0608,0.0569,0.0728,0.0319
0.0399,0.0559,0.0618,0.0569,0.0549,0.0768,0.0289
0.0339,0.0568,0.0598,0.0609,0.0589,0.0688,0.0369
0.0339,0.0569,0.0539,0.0668,0.0618,0.0698,0.0369
0.0379,0.0609,0.0638,0.0718,0.0668,0.0738,0.0389
0.0399,0.0638,0.0688,0.0678,0.0559,0.0708,0.0349
0.0359,0.1127,0.0688,0.0688,0.0658,0.0788,0.0359
0.0389,0.0678,0.0598,0.0608,0.0708,0.0718,0.0319
0.0339,0.1057,0.0658,0.0678,0.0708,0.0748,0.0339
0.0429,0.0619,0.0618,0.0638,0.0589,0.0698,0.0309
0.0369,0.0669,0.0559,0.0718,0.0748,0.0788,0.0369
0.0429,0.0678,0.0618,0.0698,0.0668,0.0768,0.0399
0.0389,0.0618,0.0668,0.0698,0.0618,0.0778,0.0339
0.0349,0.0588,0.0718,0.0638,0.0629,0.0818,0.0349
0.0389,0.0668,0.0648,0.0738,0.0629,0.0778,0.0349
0.0389,0.0718,0.0648,0.0618,0.0668,0.0818,0.0349
0.0379,0.0718,0.0628,0.0628,0.0658,0.0758,0.0339
0.0389,0.0738,0.0648,0.0977,0.0658,0.0768,0.0369
